ID	SYMBOL	NAME	PRICE	CHANGE_24H%	VOLUME
bitcoin	btc	Bitcoin	109970	0.2603	42697418921
ethereum	eth	Ethereum	3874.58	0.91985	25090070341
tether	usdt	Tether	0.999624	-0.02134	79488008336
binancecoin	bnb	BNB	1089.21	0.8838	1457893791
ripple	xrp	XRP	2.49	-0.58855	3237319700
solana	sol	Solana	186.29	-0.22001	4126731037
usd-coin	usdc	USDC	0.9998	0.00625	6860537050
staked-ether	steth	Lido Staked Ether	3873.66	0.88773	29027987
dogecoin	doge	Dogecoin	0.187001	0.91471	1131670390
tron	trx	TRON	0.296613	0.32581	467755409
cardano	ada	Cardano	0.612833	0.06999	908727290
wrapped-steth	wsteth	Wrapped stETH	4718.58	0.85359	13292895
figure-heloc	figr_heloc	Figure Heloc	1.045	410.58244	102416525
wrapped-bitcoin	wbtc	Wrapped Bitcoin	110076	0.43813	232765604
wrapped-beacon-eth	wbeth	Wrapped Beacon ETH	4187.22	0.93562	3818582
chainlink	link	Chainlink	17.36	1.03274	552751660
hyperliquid	hype	Hyperliquid	43.38	0.43671	562970223
bitcoin-cash	bch	Bitcoin Cash	555.82	0.19382	329013613
wrapped-eeth	weeth	Wrapped eETH	4183.83	0.92555	4590627
stellar	xlm	Stellar	0.305331	-0.35698	163788069
ethena-usde	usde	Ethena USDe	0.998699	0.00009	359575322
usds	usds	USDS	0.999792	0.01721	34196144
binance-bridged-usdt-bnb-smart-chain	bsc-usd	Binance Bridged USDT (BNB Smart Chain)	0.999492	-0.00544	1747068377
leo-token	leo	LEO Token	9.55	0.40163	647721
sui	sui	Sui	2.38	0.53238	683519576
weth	weth	WETH	3874.77	0.91769	269131494
hedera-hashgraph	hbar	Hedera	0.198659	1.00969	402092586
avalanche-2	avax	Avalanche	18.68	1.53463	382903202
coinbase-wrapped-btc	cbbtc	Coinbase Wrapped BTC	109989	0.30656	304086000
litecoin	ltc	Litecoin	98.82	4.29963	630830034
zcash	zec	Zcash	418.29	15.66196	1390760848
whitebit	wbt	WhiteBIT Coin	46.93	7.64715	122336438
monero	xmr	Monero	351.66	7.67966	150880290
shiba-inu	shib	Shiba Inu	0.00001014	2.41839	128705246
the-open-network	ton	Toncoin	2.3	1.81885	208602330
crypto-com-chain	cro	Cronos	0.14772	1.53735	23292667
usdt0	usdt0	USDT0	1	0.03799	347491005
bittensor	tao	Bittensor	521.61	17.10918	967859535
ethena-staked-usde	susde	Ethena Staked USDe	1.2	0.0789	25925042
mantle	mnt	Mantle	1.44	-1.2451	101182985
dai	dai	Dai	0.999787	-0.001	106693231
polkadot	dot	Polkadot	2.94	1.72015	214844068
memecore	m	MemeCore	2.48	1.32873	11120899
