SYMBOL	FIYAT	TARIH	HATA
ASELS.IS	203.6	2025-10-31T15:09:52.000Z	
THYAO.IS	291.5	2025-10-31T15:09:58.000Z	
GARAN.IS	134.6	2025-10-31T15:09:54.000Z	
BIMAS.IS	539	2025-10-31T15:09:49.000Z	
AKBNK.IS	60.8	2025-10-31T15:09:52.000Z	
EREGL.IS	27.48	2025-10-31T15:09:58.000Z	
SISE.IS	36.78	2025-10-31T15:09:46.000Z	
PETKM.IS	17.17	2025-10-31T15:10:00.000Z	
TUPRS.IS	197.6	2025-10-31T15:09:59.000Z	
TAVHL.IS	265	2025-10-31T15:09:27.000Z	
ISCTR.IS	12.65	2025-10-31T15:09:59.000Z	
HALKB.IS	26.66	2025-10-31T15:09:16.000Z	
VAKBN.IS	24.46	2025-10-31T15:09:59.000Z	
YKBNK.IS	33.6	2025-10-31T15:09:58.000Z	
TCELL.IS	99.7	2025-10-31T15:09:43.000Z	
FROTO.IS	99.25	2025-10-31T15:09:16.000Z	
TOASO.IS	264.25	2025-10-31T15:09:56.000Z	
TSKB.IS	12.89	2025-10-31T15:09:25.000Z	
TTRAK.IS	547	2025-10-31T15:08:01.000Z	
MGROS.IS	453.5	2025-10-31T15:08:29.000Z	
KCHOL.IS	171.6	2025-10-31T15:09:47.000Z	
AKSUE.IS	17.46	2025-10-31T15:05:12.000Z	
KRDMD.IS	27.42	2025-10-31T15:08:42.000Z	
KOZAL.IS	26.88	2025-10-31T15:09:54.000Z	
KOZAA.IS	90.5	2025-10-31T15:09:55.000Z	
ARCLK.IS	110.6	2025-10-31T15:09:59.000Z	
ENKAI.IS	77.7	2025-10-31T15:09:55.000Z	
ISGYO.IS	19.66	2025-10-31T15:08:49.000Z	
KAPLM.IS	483.5	2025-10-31T15:09:50.000Z	
IHLGM.IS	2.98	2025-10-31T15:09:20.000Z	
KORDS.IS	56	2025-10-31T15:09:33.000Z	
KARSN.IS	10.82	2025-10-31T15:09:41.000Z	
